'Time and date',Temporary,EEG Fpz-Cz
'[16:13:00.000 24/04/1989]',5.064,5.064
'[16:13:00.010 24/04/1989]',-2.532,2.532
'[16:13:00.020 24/04/1989]',1.407,1.407
'[16:13:00.030 24/04/1989]',-2.344,2.344
'[16:13:00.040 24/04/1989]',-5.158,5.158
'[16:13:00.050 24/04/1989]',-7.408,7.408
'[16:13:00.060 24/04/1989]',-8.252,8.252
'[16:13:00.070 24/04/1989]',-6.845,6.845
'[16:13:00.080 24/04/1989]',-3.657,3.657
'[16:13:00.090 24/04/1989]',-0.938,0.938
'[16:13:00.100 24/04/1989]',2.251,2.251
'[16:13:00.110 24/04/1989]',2.063,2.063
'[16:13:00.120 24/04/1989]',1.688,1.688
'[16:13:00.130 24/04/1989]',-2.626,2.626
'[16:13:00.140 24/04/1989]',-0.75,0.75
'[16:13:00.150 24/04/1989]',1.407,1.407
'[16:13:00.160 24/04/1989]',2.907,2.907
'[16:13:00.170 24/04/1989]',-2.157,2.157
'[16:13:00.180 24/04/1989]',0.563,0.563
'[16:13:00.190 24/04/1989]',5.908,5.908
'[16:13:00.200 24/04/1989]',-1.688,1.688
'[16:13:00.210 24/04/1989]',-3.001,3.001
'[16:13:00.220 24/04/1989]',2.907,2.907
'[16:13:00.230 24/04/1989]',7.877,7.877
'[16:13:00.240 24/04/1989]',3.001,3.001
'[16:13:00.250 24/04/1989]',-0.938,0.938
'[16:13:00.260 24/04/1989]',-1.875,1.875
'[16:13:00.270 24/04/1989]',-6.658,6.658
'[16:13:00.280 24/04/1989]',-7.502,7.502
'[16:13:00.290 24/04/1989]',-4.782,4.782
'[16:13:00.300 24/04/1989]',-12.566,12.566
'[16:13:00.310 24/04/1989]',-9.19,9.19
'[16:13:00.320 24/04/1989]',-12.284,12.284
'[16:13:00.330 24/04/1989]',-8.252,8.252
'[16:13:00.340 24/04/1989]',-16.316,16.316
'[16:13:00.350 24/04/1989]',-21.099,21.099
'[16:13:00.360 24/04/1989]',-23.631,23.631
'[16:13:00.370 24/04/1989]',-21.193,21.193
'[16:13:00.380 24/04/1989]',-20.161,20.161
'[16:13:00.390 24/04/1989]',-23.725,23.725
'[16:13:00.400 24/04/1989]',-26.069,26.069
'[16:13:00.410 24/04/1989]',-25.6,25.6
'[16:13:00.420 24/04/1989]',-26.069,26.069
'[16:13:00.430 24/04/1989]',-26.632,26.632
'[16:13:00.440 24/04/1989]',-22.787,22.787
'[16:13:00.450 24/04/1989]',-22.412,22.412
'[16:13:00.460 24/04/1989]',-21.474,21.474
'[16:13:00.470 24/04/1989]',-16.598,16.598
'[16:13:00.480 24/04/1989]',-16.035,16.035
'[16:13:00.490 24/04/1989]',-11.347,11.347
'[16:13:00.500 24/04/1989]',-11.534,11.534
'[16:13:00.510 24/04/1989]',-15.379,15.379
'[16:13:00.520 24/04/1989]',-15.191,15.191
'[16:13:00.530 24/04/1989]',-14.441,14.441
'[16:13:00.540 24/04/1989]',-16.598,16.598
'[16:13:00.550 24/04/1989]',-17.067,17.067
'[16:13:00.560 24/04/1989]',-12.753,12.753
'[16:13:00.570 24/04/1989]',-9.002,9.002
'[16:13:00.580 24/04/1989]',-6.095,6.095
'[16:13:00.590 24/04/1989]',-9.002,9.002
'[16:13:00.600 24/04/1989]',-7.502,7.502
'[16:13:00.610 24/04/1989]',-8.533,8.533
'[16:13:00.620 24/04/1989]',-5.439,5.439
'[16:13:00.630 24/04/1989]',-2.626,2.626
'[16:13:00.640 24/04/1989]',-1.875,1.875
'[16:13:00.650 24/04/1989]',-5.72,5.72
'[16:13:00.660 24/04/1989]',-5.908,5.908
'[16:13:00.670 24/04/1989]',-4.314,4.314
'[16:13:00.680 24/04/1989]',-5.064,5.064
'[16:13:00.690 24/04/1989]',-5.908,5.908
'[16:13:00.700 24/04/1989]',-3.751,3.751
'[16:13:00.710 24/04/1989]',-0.656,0.656
'[16:13:00.720 24/04/1989]',-3.751,3.751
'[16:13:00.730 24/04/1989]',-4.97,4.97
'[16:13:00.740 24/04/1989]',-2.907,2.907
'[16:13:00.750 24/04/1989]',-1.5,1.5
'[16:13:00.760 24/04/1989]',-1.407,1.407
'[16:13:00.770 24/04/1989]',-3.188,3.188
'[16:13:00.780 24/04/1989]',-0.563,0.563
'[16:13:00.790 24/04/1989]',-4.314,4.314
'[16:13:00.800 24/04/1989]',-3.563,3.563
'[16:13:00.810 24/04/1989]',-2.438,2.438
'[16:13:00.820 24/04/1989]',-0.281,0.281
'[16:13:00.830 24/04/1989]',-0.844,0.844
'[16:13:00.840 24/04/1989]',-1.313,1.313
'[16:13:00.850 24/04/1989]',-8.815,8.815
'[16:13:00.860 24/04/1989]',-10.409,10.409
'[16:13:00.870 24/04/1989]',-7.127,7.127
'[16:13:00.880 24/04/1989]',-6.095,6.095
'[16:13:00.890 24/04/1989]',-5.251,5.251
'[16:13:00.900 24/04/1989]',-5.251,5.251
'[16:13:00.910 24/04/1989]',-6.001,6.001
'[16:13:00.920 24/04/1989]',-1.125,1.125
'[16:13:00.930 24/04/1989]',3.657,3.657
'[16:13:00.940 24/04/1989]',3.001,3.001
'[16:13:00.950 24/04/1989]',-7.783,7.783
'[16:13:00.960 24/04/1989]',-26.538,26.538
'[16:13:00.970 24/04/1989]',-14.347,14.347
