Time and date,EEG Fpz-Cz,reference,EEG Pz-Oz,Sleep Stage
'[16:13:00.000 24/04/1989]',5.064,5.064,-2.495,
'[16:13:00.010 24/04/1989]',2.532,-2.532,1.44,
'[16:13:00.020 24/04/1989]',1.407,1.407,-4.127,
'[16:13:00.030 24/04/1989]',2.344,-2.344,-2.687,
'[16:13:00.040 24/04/1989]',5.158,-5.158,-0.768,
'[16:13:00.050 24/04/1989]',7.408,-7.408,-1.44,
'[16:13:00.060 24/04/1989]',8.252,-8.252,-0.96,
'[16:13:00.070 24/04/1989]',6.845,-6.845,1.823,
'[16:13:00.080 24/04/1989]',3.657,-3.657,-0.864,
'[16:13:00.090 24/04/1989]',0.938,-0.938,-0.864,
'[16:13:00.100 24/04/1989]',2.251,2.251,-10.653,
'[16:13:00.110 24/04/1989]',2.063,2.063,-13.436,
'[16:13:00.120 24/04/1989]',1.688,1.688,-10.845,
'[16:13:00.130 24/04/1989]',2.626,-2.626,-4.319,
'[16:13:00.140 24/04/1989]',0.75,-0.75,-3.455,
'[16:13:00.150 24/04/1989]',1.407,1.407,-3.071,
'[16:13:00.160 24/04/1989]',2.907,2.907,-1.632,
'[16:13:00.170 24/04/1989]',2.157,-2.157,-8.062,
'[16:13:00.180 24/04/1989]',0.563,0.563,-5.854,
'[16:13:00.190 24/04/1989]',5.908,5.908,-7.486,
'[16:13:00.200 24/04/1989]',1.688,-1.688,-3.743,
'[16:13:00.210 24/04/1989]',3.001,-3.001,-2.015,
'[16:13:00.220 24/04/1989]',2.907,2.907,-3.455,
'[16:13:00.230 24/04/1989]',7.877,7.877,-10.749,
'[16:13:00.240 24/04/1989]',3.001,3.001,-11.516,
'[16:13:00.250 24/04/1989]',0.938,-0.938,-8.733,
'[16:13:00.260 24/04/1989]',1.875,-1.875,-2.783,
'[16:13:00.270 24/04/1989]',6.658,-6.658,-2.783,
'[16:13:00.280 24/04/1989]',7.502,-7.502,-2.687,
'[16:13:00.290 24/04/1989]',4.782,-4.782,0.576,
'[16:13:00.300 24/04/1989]',12.566,-12.566,3.935,
'[16:13:00.310 24/04/1989]',9.19,-9.19,-1.344,
