'Time and date','EEG Fpz-Cz','EEG Pz-Oz','EOG horizontal','Resp oro-nasal','EMG submental','Temp rectal','Event marker'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','','uV','DegC',''
'[16:13:00.000 24/04/1989]',5.064,-2.495,16.262,-482.000,3.552,37.206,920.000
'[16:13:00.010 24/04/1989]',-2.532,1.440,15.769,-482.000,3.552,37.206,920.000
'[16:13:00.020 24/04/1989]',1.407,-4.127,9.363,-482.000,3.552,37.206,920.000
'[16:13:00.030 24/04/1989]',-2.344,-2.687,1.478,-482.000,3.552,37.206,920.000
'[16:13:00.040 24/04/1989]',-5.158,-0.768,7.392,-482.000,3.552,37.206,920.000
'[16:13:00.050 24/04/1989]',-7.408,-1.440,2.464,-482.000,3.552,37.206,920.000
'[16:13:00.060 24/04/1989]',-8.252,-0.960,0.000,-482.000,3.552,37.206,920.000
'[16:13:00.070 24/04/1989]',-6.845,1.823,-0.986,-482.000,3.552,37.206,920.000
'[16:13:00.080 24/04/1989]',-3.657,-0.864,0.986,-482.000,3.552,37.206,920.000
'[16:13:00.090 24/04/1989]',-0.938,-0.864,4.928,-482.000,3.552,37.206,920.000
'[16:13:00.100 24/04/1989]',2.251,-10.653,-2.464,-482.000,3.552,37.206,920.000
'[16:13:00.110 24/04/1989]',2.063,-13.436,-5.421,-482.000,3.552,37.206,920.000
'[16:13:00.120 24/04/1989]',1.688,-10.845,-7.392,-482.000,3.552,37.206,920.000
'[16:13:00.130 24/04/1989]',-2.626,-4.319,-6.406,-482.000,3.552,37.206,920.000
'[16:13:00.140 24/04/1989]',-0.750,-3.455,-5.914,-482.000,3.552,37.206,920.000
'[16:13:00.150 24/04/1989]',1.407,-3.071,-8.378,-482.000,3.552,37.206,920.000
'[16:13:00.160 24/04/1989]',2.907,-1.632,-14.784,-482.000,3.552,37.206,920.000
'[16:13:00.170 24/04/1989]',-2.157,-8.062,-6.899,-482.000,3.552,37.206,920.000
'[16:13:00.180 24/04/1989]',0.563,-5.854,-17.741,-482.000,3.552,37.206,920.000
'[16:13:00.190 24/04/1989]',5.908,-7.486,-15.769,-482.000,3.552,37.206,920.000
'[16:13:00.200 24/04/1989]',-1.688,-3.743,-10.349,-482.000,3.552,37.206,920.000
'[16:13:00.210 24/04/1989]',-3.001,-2.015,-11.827,-482.000,3.552,37.206,920.000
'[16:13:00.220 24/04/1989]',2.907,-3.455,-7.392,-482.000,3.552,37.206,920.000
'[16:13:00.230 24/04/1989]',7.877,-10.749,-14.784,-482.000,3.552,37.206,920.000
'[16:13:00.240 24/04/1989]',3.001,-11.516,-16.262,-482.000,3.552,37.206,920.000
'[16:13:00.250 24/04/1989]',-0.938,-8.733,-13.798,-482.000,3.552,37.206,920.000
'[16:13:00.260 24/04/1989]',-1.875,-2.783,-24.640,-482.000,3.552,37.206,920.000
'[16:13:00.270 24/04/1989]',-6.658,-2.783,-20.697,-482.000,3.552,37.206,920.000
'[16:13:00.280 24/04/1989]',-7.502,-2.687,-22.669,-482.000,3.552,37.206,920.000
'[16:13:00.290 24/04/1989]',-4.782,0.576,-20.205,-482.000,3.552,37.206,920.000
'[16:13:00.300 24/04/1989]',-12.566,3.935,-21.683,-482.000,3.552,37.206,920.000
'[16:13:00.310 24/04/1989]',-9.190,-1.344,-29.075,-482.000,3.552,37.206,920.000
'[16:13:00.320 24/04/1989]',-12.284,-2.591,-24.640,-482.000,3.552,37.206,920.000
'[16:13:00.330 24/04/1989]',-8.252,-2.015,-23.161,-482.000,3.552,37.206,920.000
'[16:13:00.340 24/04/1989]',-16.316,-5.662,-20.697,-482.000,3.552,37.206,920.000
'[16:13:00.350 24/04/1989]',-21.099,-0.672,-18.233,-482.000,3.552,37.206,920.000
'[16:13:00.360 24/04/1989]',-23.631,1.536,-28.089,-482.000,3.552,37.206,920.000
'[16:13:00.370 24/04/1989]',-21.193,-0.768,-20.205,-482.000,3.552,37.206,920.000
'[16:13:00.380 24/04/1989]',-20.161,1.248,-23.161,-482.000,3.552,37.206,920.000
'[16:13:00.390 24/04/1989]',-23.725,-5.854,-16.262,-482.000,3.552,37.206,920.000
'[16:13:00.400 24/04/1989]',-26.069,0.384,-17.741,-482.000,3.552,37.206,920.000
'[16:13:00.410 24/04/1989]',-25.600,1.536,-23.161,-482.000,3.552,37.206,920.000
'[16:13:00.420 24/04/1989]',-26.069,4.319,-15.769,-482.000,3.552,37.206,920.000
'[16:13:00.430 24/04/1989]',-26.632,2.879,-20.205,-482.000,3.552,37.206,920.000
'[16:13:00.440 24/04/1989]',-22.787,-0.096,-12.813,-482.000,3.552,37.206,920.000
'[16:13:00.450 24/04/1989]',-22.412,2.879,-16.262,-482.000,3.552,37.206,920.000
'[16:13:00.460 24/04/1989]',-21.474,5.374,-16.262,-482.000,3.552,37.206,920.000
'[16:13:00.470 24/04/1989]',-16.598,1.152,-9.363,-482.000,3.552,37.206,920.000
'[16:13:00.480 24/04/1989]',-16.035,1.727,-16.262,-482.000,3.552,37.206,920.000
'[16:13:00.490 24/04/1989]',-11.347,-11.037,-23.161,-482.000,3.552,37.206,920.000
'[16:13:00.500 24/04/1989]',-11.534,-11.133,-18.233,-482.000,3.552,37.206,920.000
'[16:13:00.510 24/04/1989]',-15.379,-10.365,-8.378,-482.000,3.552,37.206,920.000
'[16:13:00.520 24/04/1989]',-15.191,-6.142,-10.842,-482.000,3.552,37.206,920.000
'[16:13:00.530 24/04/1989]',-14.441,-2.399,-9.856,-482.000,3.552,37.206,920.000
'[16:13:00.540 24/04/1989]',-16.598,-1.727,-12.320,-482.000,3.552,37.206,920.000
'[16:13:00.550 24/04/1989]',-17.067,-2.207,-4.435,-482.000,3.552,37.206,920.000
'[16:13:00.560 24/04/1989]',-12.753,3.839,-13.305,-482.000,3.552,37.206,920.000
'[16:13:00.570 24/04/1989]',-9.002,0.960,-3.942,-482.000,3.552,37.206,920.000
'[16:13:00.580 24/04/1989]',-6.095,4.607,-12.320,-482.000,3.552,37.206,920.000
'[16:13:00.590 24/04/1989]',-9.002,0.672,-1.971,-482.000,3.552,37.206,920.000
'[16:13:00.600 24/04/1989]',-7.502,0.768,0.493,-482.000,3.552,37.206,920.000
'[16:13:00.610 24/04/1989]',-8.533,-3.551,-1.478,-482.000,3.552,37.206,920.000
'[16:13:00.620 24/04/1989]',-5.439,-3.455,-5.421,-482.000,3.552,37.206,920.000
'[16:13:00.630 24/04/1989]',-2.626,-1.056,-5.421,-482.000,3.552,37.206,920.000
'[16:13:00.640 24/04/1989]',-1.875,-1.823,-12.320,-482.000,3.552,37.206,920.000
'[16:13:00.650 24/04/1989]',-5.720,4.223,1.478,-482.000,3.552,37.206,920.000
'[16:13:00.660 24/04/1989]',-5.908,7.486,9.363,-482.000,3.552,37.206,920.000
'[16:13:00.670 24/04/1989]',-4.314,3.167,4.928,-482.000,3.552,37.206,920.000
